CATEGORY,NAME,NUMBER,LABEL,BASE RESPONDEN
,NOBAY,,WAVE,
,NO_BASE,,No Quesioner BASELINE,
,NO_NEW,,No Quesioner ENDLINE,
,SFL_WAVE,,Wave,
,SFL_PROV,,Province,
,SFL_CAT,,Category,
,SFL_AGE,,Age group,
,SFL_STUDY,,Level of education attained,
,SFL_SES,,Routine household income per month (SES),
,SFL_AREA,,Status Area,
,SFL_GENDER,,Gender,
,SSQ4,S4,"Including yoursef, how many citizen of Indonesia, aged above 17 year 1 month old, is living in this household?",
,SSQ5,S5,(Interviewer: Write down the total number of adults aged above 17 year 1 month old based on the Kish Grid above),
,SSQ6,S6,"Your participation in the survey is voluntary. You do not have to answer every question, and we will keep your answer confidential.",
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ11,1a,Have you ever heard of the DPR (Dewan Perwakilan Rakyat)?,Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ12,1b,Have you ever heard of the DPD (Dewan Perwakilan Daerah)?,Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ13,1c,Have you ever heard of the Governor?,Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ14,1d,Have you ever heard of the District Chief/Mayor?,Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ15,2a,"Have you ever heard that there was an election of members of DPR (Dewan Perwakilan Rakyat), an election that is participated by political party?",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ16,2b,Have you ever heard that there was an election of members of DPD (Dewan Perwakilan Daerah)?,Base : Responden yang pernah mendengar nama lembaga DPD (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ17,2c,Have you ever heard that there was an election of the Governor?,Base : Responden yang pernah mendengar nama lembaga Gubernur (n : xx)
